date,slice_label,OT
1641449777715 ,191,1.39194119
1641449777725 ,191,1.33316505
1641449777735 ,191,1.330126286
1641449777745 ,191,1.29926157
1641449777755 ,191,1.294215202
1641449777765 ,191,1.241676331
1641449777775 ,191,1.223794818
1641449777785 ,191,1.253558636
1641449777795 ,191,1.272853851
1641449777805 ,191,1.294944048
1641449777815 ,191,1.352743387
1641449777825 ,191,1.358921409
1641449777835 ,191,1.291960597
1641449777845 ,191,1.319548607
1641449777855 ,191,1.244561672
1641449777865 ,191,1.239057302
1641449777875 ,191,1.211530089
1641449777885 ,191,1.250156164
1641449777895 ,191,1.254409671
1641449777905 ,191,1.250297666
1641449777915 ,191,1.3110466
1641449777925 ,191,1.237691402
1641449777935 ,191,1.28153038
1641449777945 ,191,1.292456627
1641449777955 ,191,1.376016617
1641449777965 ,191,1.245513678
1641449777975 ,191,1.249017
1641449777985 ,191,1.263151407
1641449777995 ,191,1.336294293
1641449778005 ,191,1.320217013
1641449778015 ,191,1.312650204
1641449778025 ,191,1.266323566
1641449778035 ,191,1.209090948
1641449778045 ,191,1.21762085
1641449778055 ,191,1.229981065
1641449778065 ,191,1.293683767
1641449778075 ,191,1.316223741
1641449778085 ,191,1.331261754
1641449778095 ,191,1.294777155
1641449778105 ,191,1.353948116
1641449778115 ,191,1.266200304
1641449778125 ,191,1.23500371
1641449778135 ,191,1.204818964
1641449778145 ,191,1.202101231
1641449778155 ,191,1.186232686
1641449778165 ,191,1.203196883
1641449778175 ,191,1.246766925
1641449778185 ,191,1.255993724
1641449778195 ,191,1.323482633
1641449778205 ,191,1.269672871
1641449778215 ,191,1.271038771
1641449778225 ,191,1.214434743
1641449778235 ,191,1.234726906
1641449778245 ,191,1.196008086
1641449778255 ,191,1.182945728
1641449778265 ,191,1.250213981
1641449778275 ,191,1.04751277
1641449778285 ,191,0.809455574
1641449778295 ,191,0.718728125
1641449778305 ,191,0.705951631
1641449778315 ,191,0.723550379
1641449778325 ,191,0.65579921
1641449778335 ,191,0.602713704
1641449778345 ,191,0.58441031
1641449778355 ,191,0.590576172
1641449778365 ,191,0.632235348
1641449778375 ,191,0.667620182
1641449778385 ,191,0.771991432
1641449778395 ,191,0.822746158
1641449778405 ,191,0.931738734
1641449778415 ,191,0.961025536
1641449778425 ,191,1.023519158
1641449778435 ,191,1.162667036
1641449778445 ,191,1.211271524
1641449778455 ,191,1.257546544
1641449778465 ,191,1.263235211
1641449778475 ,191,1.286984324
1641449778485 ,191,1.278581262
1641449778495 ,191,1.242612839
1641449778505 ,191,1.199437261
1641449778515 ,191,1.114520669
1641449778525 ,191,1.091419578
1641449778535 ,191,1.080546618
1641449778545 ,191,1.078119636
1641449778555 ,191,1.086266637
1641449778565 ,191,1.115750194
1641449778575 ,191,1.06631875
1641449778585 ,191,1.046812654
1641449778595 ,191,1.065841436
1641449778605 ,191,1.066411614
1641449778615 ,191,1.032045364
1641449778625 ,191,1.034073353
1641449778635 ,191,1.007193327
1641449778645 ,191,1.026702762
1641449778655 ,191,1.012861371
1641449778665 ,191,1.04911685
1641449778675 ,191,1.111976743
1641449778685 ,191,1.103992701
1641449778695 ,191,1.127627611
1641449778705 ,191,1.103368521
1641449778715 ,191,1.078163147
1641449778725 ,191,1.021996021
1641449778735 ,191,1.053795457
1641449778745 ,191,1.07881999
1641449778755 ,191,1.075580597
1641449778765 ,191,1.136597991
1641449778775 ,191,1.085534334
1641449778785 ,191,1.076394677
1641449778795 ,191,1.012258291
1641449778805 ,191,1.024763227
1641449778815 ,191,1.07829833
1641449778825 ,191,1.064555407
1641449778835 ,191,1.11940074
1641449778845 ,191,1.050445318
1641449778855 ,191,1.072683096
1641449778865 ,191,1.042474866
1641449778875 ,191,1.08795619
1641449778885 ,191,1.030114889
1641449778895 ,191,0.979032516
1641449778905 ,191,1.036044836
1641449778915 ,191,1.05140543
1641449778925 ,191,1.095124483
1641449778935 ,191,1.099941969
1641449778945 ,191,1.106065631
1641449778955 ,191,1.059293747
1641449778965 ,191,1.009114265
1641449778975 ,191,1.000246167
1641449778985 ,191,1.01319325
1641449778995 ,191,1.068541646
1641449779005 ,191,1.095303655
1641449779015 ,191,1.120501399
1641449779025 ,191,1.099579573
1641449779035 ,191,1.038720369
1641449779045 ,191,0.982616544
1641449779055 ,191,1.005530834
1641449779065 ,191,0.969385028
1641449779075 ,191,1.039870262
1641449779085 ,191,1.058987021
1641449779095 ,191,1.104421377
1641449779105 ,191,1.076427698
1641449779115 ,191,1.042009592
1641449779125 ,191,1.050490379
1641449779135 ,191,0.991831005
1641449779145 ,191,1.032196522
1641449779155 ,191,0.965934753
1641449779165 ,191,1.029385805
1641449779175 ,191,1.052549601
1641449779185 ,191,1.035585523
1641449779195 ,191,1.089460492
1641449779205 ,191,1.052588344
1641449779215 ,191,1.080450177
1641449779225 ,191,1.033649206
1641449779235 ,191,1.022008061
1641449779245 ,191,0.958314657
1641449779255 ,191,0.982165813
1641449779265 ,191,0.99483937
1641449779275 ,191,1.024016023
1641449779285 ,191,1.085710883
1641449779295 ,191,1.039568901
1641449779305 ,191,1.027314782
1641449779315 ,191,0.998153746
1641449779325 ,191,0.946927011
1641449779335 ,191,0.975423694
1641449779345 ,191,0.997463465
1641449779355 ,191,1.069440842
1641449779365 ,191,1.068232298
1641449779375 ,191,1.046075583
1641449779385 ,191,1.023455024
1641449779395 ,191,0.962031484
1641449779405 ,191,0.990079224
1641449779415 ,191,0.966411591
1641449779425 ,191,1.038517952
1641449779435 ,191,1.052093148
1641449779445 ,191,1.072732449
